transaction_id,customer_id,product_id,product_name,category,quantity_sold,unit_price,transaction_date,store_id,store_location,customer_age,customer_gender,customer_income,customer_loyalty_level,payment_method,promotion_applied,promotion_type,holiday_indicator,weekday
16,9279,890,Camera,Appliances,4,639.33,05-02-2024 19:28,17,"Dallas, TX",20,Male,55162.4,Silver,Debit Card,TRUE,None,TRUE,Friday
17,1434,941,Laptop,Appliances,3,457.92,03-01-2024 14:26,16,"Miami, FL",68,Female,84105.52,Silver,Debit Card,FALSE,None,TRUE,Friday
18,4257,806,Laptop,Electronics,5,1201.92,6/26/2024 4:41,20,"New York, NY",43,Other,28754.82,Platinum,Debit Card,FALSE,None,FALSE,Tuesday
19,9928,942,TV,Electronics,4,649.8,06-02-2024 20:20,5,"Miami, FL",44,Male,65975.21,Bronze,Cash,FALSE,None,FALSE,Monday
20,7873,382,TV,Appliances,3,1155.98,7/21/2024 20:20,3,"Miami, FL",38,Other,106725.94,Platinum,Digital Wallet,TRUE,Percentage Discount,FALSE,Thursday
21,4611,666,Headphones,Electronics,4,160.4,5/18/2024 14:04,2,"Los Angeles, CA",21,Male,77489.83,Silver,Credit Card,FALSE,BOGO,FALSE,Saturday
22,8359,623,Smartphone,Electronics,4,781.98,02-06-2024 09:06,9,"Dallas, TX",65,Other,86773.84,Gold,Credit Card,FALSE,None,TRUE,Wednesday
23,5557,669,TV,Appliances,5,565.22,03-03-2024 11:00,13,"Chicago, IL",43,Female,90816.55,Bronze,Cash,FALSE,None,FALSE,Monday
24,1106,684,Headphones,Electronics,5,1503.41,1/30/2024 9:19,14,"Chicago, IL",50,Female,57698.63,Gold,Debit Card,FALSE,None,TRUE,Tuesday
25,3615,685,Smartphone,Electronics,4,466.9,08-03-2024 04:57,5,"Dallas, TX",51,Male,44320.68,Gold,Digital Wallet,TRUE,Percentage Discount,TRUE,Friday
26,7924,258,Camera,Electronics,1,1376.02,7/17/2024 15:17,15,"Dallas, TX",58,Female,110254.19,Platinum,Digital Wallet,TRUE,None,FALSE,Tuesday
27,6574,196,TV,Appliances,4,673.75,4/15/2024 1:23,11,"Dallas, TX",64,Male,23520.55,Gold,Cash,TRUE,None,FALSE,Wednesday
28,5552,138,Smartphone,Appliances,2,1880.99,7/27/2024 3:42,1,"Miami, FL",50,Male,45558.46,Gold,Debit Card,TRUE,None,FALSE,Wednesday
29,3547,571,TV,Electronics,3,1839.91,7/15/2024 17:29,4,"Miami, FL",41,Female,77669.59,Bronze,Debit Card,TRUE,BOGO,TRUE,Monday
30,4527,464,Laptop,Electronics,2,1187.87,02-06-2024 06:57,12,"New York, NY",47,Female,111298.17,Bronze,Digital Wallet,TRUE,None,FALSE,Tuesday
31,6514,259,Smartphone,Electronics,1,672.67,7/31/2024 10:27,6,"Chicago, IL",63,Male,116645.94,Platinum,Digital Wallet,FALSE,None,FALSE,Monday
32,2674,241,Headphones,Electronics,2,947.46,6/13/2024 23:45,13,"Chicago, IL",45,Other,60397.59,Gold,Debit Card,TRUE,None,FALSE,Monday
33,2519,371,Tablet,Appliances,3,1166.71,05-02-2024 07:21,19,"New York, NY",67,Male,71524.97,Silver,Cash,FALSE,None,FALSE,Thursday
34,7224,475,Laptop,Electronics,3,1483.91,05-08-2024 09:01,15,"Los Angeles, CA",20,Female,53675.06,Gold,Cash,TRUE,None,FALSE,Sunday
35,2584,696,Smartphone,Electronics,3,1529.02,2/14/2024 7:00,9,"New York, NY",29,Other,46591.75,Bronze,Debit Card,FALSE,Percentage Discount,FALSE,Friday
36,6881,355,Fridge,Electronics,1,1868.19,8/28/2024 12:57,9,"New York, NY",47,Female,46110.47,Bronze,Credit Card,FALSE,None,TRUE,Sunday
37,6635,338,Tablet,Electronics,5,1292.59,4/21/2024 7:24,6,"New York, NY",30,Male,84317.95,Bronze,Credit Card,TRUE,Percentage Discount,FALSE,Saturday
38,5333,362,Camera,Appliances,1,1086.46,3/30/2024 22:38,2,"New York, NY",25,Other,99864.97,Platinum,Cash,FALSE,None,FALSE,Thursday
39,1711,930,TV,Appliances,5,897.72,1/28/2024 23:03,8,"New York, NY",45,Male,102848.17,Gold,Digital Wallet,TRUE,None,TRUE,Tuesday
40,8527,407,Headphones,Appliances,3,1500.01,2/25/2024 2:52,13,"Dallas, TX",19,Male,52485.34,Gold,Debit Card,FALSE,BOGO,FALSE,Monday
41,9785,194,Washing Machine,Electronics,5,635.67,06-01-2024 22:32,2,"Miami, FL",33,Other,35558.79,Bronze,Debit Card,FALSE,Percentage Discount,TRUE,Monday
42,3045,684,TV,Appliances,3,1451.08,2/13/2024 13:55,16,"New York, NY",40,Female,52420.13,Gold,Digital Wallet,FALSE,None,TRUE,Friday
43,7201,509,Camera,Electronics,5,1182.44,04-11-2024 02:53,18,"Los Angeles, CA",21,Male,60290.79,Silver,Digital Wallet,FALSE,None,TRUE,Saturday
44,2291,682,Camera,Electronics,1,887.89,6/27/2024 11:57,11,"Los Angeles, CA",27,Male,40580.96,Gold,Debit Card,FALSE,Percentage Discount,TRUE,Thursday
45,5803,322,Smartphone,Electronics,3,807.27,03-06-2024 22:28,10,"Miami, FL",62,Female,106546.53,Platinum,Debit Card,TRUE,Percentage Discount,TRUE,Thursday
46,6925,851,Fridge,Appliances,2,289.96,4/26/2024 20:53,18,"New York, NY",37,Male,67684.91,Bronze,Cash,FALSE,None,FALSE,Saturday
47,4150,179,Tablet,Electronics,4,508.35,08-06-2024 05:40,7,"Los Angeles, CA",39,Female,44829.51,Gold,Cash,TRUE,BOGO,TRUE,Wednesday
48,2139,840,Tablet,Electronics,5,1768.16,09-06-2024 23:19,7,"Los Angeles, CA",18,Male,113713.11,Bronze,Debit Card,FALSE,BOGO,TRUE,Wednesday
49,1750,432,Smartphone,Electronics,2,1441.29,6/21/2024 16:04,1,"Dallas, TX",43,Female,24183.49,Silver,Credit Card,TRUE,None,TRUE,Sunday
50,4733,911,Smartphone,Appliances,3,1015.05,7/23/2024 5:50,19,"Dallas, TX",70,Other,92852.3,Platinum,Credit Card,TRUE,None,TRUE,Wednesday
51,5741,594,TV,Appliances,3,1273.04,1/21/2024 5:04,12,"Chicago, IL",30,Male,47241.6,Platinum,Cash,FALSE,None,FALSE,Monday
52,2307,277,TV,Electronics,5,1141.15,7/21/2024 23:28,17,"Los Angeles, CA",26,Female,29909.45,Bronze,Digital Wallet,TRUE,None,FALSE,Wednesday
53,4814,599,Fridge,Appliances,4,822.18,5/25/2024 12:08,16,"Chicago, IL",65,Male,86761.58,Bronze,Credit Card,FALSE,Percentage Discount,TRUE,Saturday
54,2654,945,Camera,Appliances,4,1911.95,04-03-2024 17:35,5,"Miami, FL",47,Other,101221.71,Gold,Debit Card,TRUE,None,FALSE,Monday
55,7227,806,Camera,Electronics,3,779.8,3/17/2024 15:38,8,"Dallas, TX",68,Other,35157.7,Silver,Credit Card,FALSE,BOGO,TRUE,Wednesday
56,5554,819,Fridge,Electronics,4,963.98,5/21/2024 8:02,18,"New York, NY",21,Other,48442.51,Silver,Debit Card,TRUE,None,FALSE,Sunday
57,8428,690,TV,Appliances,2,1555.39,5/20/2024 22:46,7,"Los Angeles, CA",62,Male,85217.95,Platinum,Credit Card,FALSE,None,TRUE,Saturday
58,6977,939,Laptop,Appliances,1,1942.61,5/22/2024 1:12,13,"Miami, FL",62,Male,56597.14,Silver,Debit Card,TRUE,None,TRUE,Sunday
59,3664,197,TV,Electronics,2,1987.95,7/13/2024 12:07,18,"Miami, FL",61,Male,94487.48,Silver,Digital Wallet,FALSE,None,FALSE,Saturday
60,7065,709,Headphones,Appliances,1,1403.43,07-08-2024 13:47,1,"New York, NY",40,Male,103118.84,Silver,Credit Card,TRUE,None,TRUE,Tuesday
61,6820,757,Smartphone,Electronics,4,1702.75,2/23/2024 7:27,14,"New York, NY",27,Female,118178,Bronze,Credit Card,FALSE,BOGO,FALSE,Friday
62,4432,407,Camera,Electronics,3,1612.51,5/23/2024 12:54,2,"New York, NY",35,Female,110883.1,Silver,Debit Card,TRUE,None,FALSE,Thursday
63,5374,138,TV,Electronics,2,222.97,7/18/2024 23:38,3,"Miami, FL",23,Female,83341.85,Silver,Credit Card,TRUE,BOGO,FALSE,Sunday
64,2169,848,Laptop,Electronics,2,567.45,08-09-2024 23:16,9,"Chicago, IL",60,Female,100745.24,Bronze,Cash,FALSE,None,TRUE,Wednesday
65,3803,927,Headphones,Appliances,3,1718.3,3/29/2024 14:26,11,"New York, NY",45,Female,100375.5,Bronze,Debit Card,TRUE,None,FALSE,Monday
66,9751,690,Smartphone,Appliances,5,1621.14,5/13/2024 18:13,15,"Chicago, IL",56,Female,79297.4,Platinum,Debit Card,FALSE,None,FALSE,Tuesday
67,5010,490,Washing Machine,Electronics,1,245.51,04-01-2024 02:35,20,"Los Angeles, CA",70,Male,21194.58,Gold,Credit Card,FALSE,Percentage Discount,FALSE,Saturday
68,3677,180,TV,Appliances,3,411.94,6/22/2024 22:55,5,"Chicago, IL",34,Male,20389.64,Bronze,Cash,TRUE,None,FALSE,Sunday
69,8573,898,Tablet,Electronics,2,99.79,06-12-2024 02:03,8,"Miami, FL",67,Other,28977.08,Bronze,Digital Wallet,FALSE,None,FALSE,Wednesday
70,7216,157,Washing Machine,Electronics,4,751.77,3/18/2024 5:57,5,"New York, NY",67,Male,78767.52,Platinum,Cash,FALSE,BOGO,FALSE,Tuesday
71,5422,889,Tablet,Appliances,1,1003.29,3/23/2024 21:42,13,"Los Angeles, CA",58,Other,33420.16,Gold,Digital Wallet,TRUE,None,TRUE,Wednesday
72,4598,442,Smartphone,Electronics,3,473.18,3/18/2024 4:25,16,"Miami, FL",65,Female,68810.22,Silver,Cash,FALSE,None,TRUE,Monday
73,6313,456,Fridge,Electronics,1,1708.1,05-12-2024 22:09,3,"Miami, FL",38,Other,92249.17,Silver,Credit Card,TRUE,None,FALSE,Friday
74,1916,936,Camera,Appliances,3,330.13,9/13/2024 7:47,9,"New York, NY",45,Female,30211,Platinum,Debit Card,TRUE,None,TRUE,Sunday
75,4752,544,Washing Machine,Electronics,5,1427.61,01-08-2024 06:33,18,"Los Angeles, CA",37,Male,69504.2,Silver,Digital Wallet,TRUE,None,FALSE,Thursday
76,1525,526,Washing Machine,Electronics,5,1412.28,1/17/2024 16:44,11,"Chicago, IL",42,Other,85658.97,Gold,Digital Wallet,TRUE,None,TRUE,Sunday
77,6168,988,Smartphone,Electronics,2,464.77,03-11-2024 05:28,17,"Dallas, TX",52,Female,29772.04,Silver,Cash,TRUE,BOGO,FALSE,Monday
78,7572,223,Camera,Appliances,2,1381.09,06-04-2024 11:51,4,"Miami, FL",44,Other,58641.91,Silver,Digital Wallet,TRUE,Percentage Discount,TRUE,Wednesday
79,5386,990,Camera,Electronics,2,460.15,5/20/2024 19:29,20,"New York, NY",42,Male,61610.34,Silver,Digital Wallet,TRUE,BOGO,FALSE,Monday
80,2084,888,Washing Machine,Electronics,4,1996.67,6/20/2024 2:36,15,"Chicago, IL",47,Male,61760.44,Platinum,Digital Wallet,FALSE,None,FALSE,Thursday
81,4456,332,Washing Machine,Appliances,1,839.5,05-04-2024 15:09,1,"Chicago, IL",43,Male,43640.61,Platinum,Digital Wallet,TRUE,None,TRUE,Saturday
82,6155,865,Washing Machine,Appliances,3,555.2,1/29/2024 1:58,4,"Miami, FL",67,Other,24442.75,Bronze,Cash,TRUE,None,TRUE,Tuesday
83,4483,768,Headphones,Electronics,3,412.78,1/29/2024 14:44,12,"Miami, FL",58,Female,23721.97,Silver,Debit Card,FALSE,Percentage Discount,FALSE,Tuesday
84,9179,969,Fridge,Electronics,3,1143.31,09-05-2024 09:25,2,"Chicago, IL",60,Male,46071.3,Gold,Cash,TRUE,None,TRUE,Wednesday
85,7482,716,Laptop,Electronics,2,310.07,6/24/2024 17:20,4,"Chicago, IL",64,Male,89027.25,Platinum,Digital Wallet,TRUE,None,TRUE,Friday
86,8517,111,TV,Electronics,1,518.14,1/18/2024 4:28,19,"Dallas, TX",63,Male,84024.27,Platinum,Digital Wallet,FALSE,None,FALSE,Wednesday
87,3340,749,TV,Electronics,4,369.54,04-08-2024 12:55,14,"Chicago, IL",34,Other,67483.34,Silver,Debit Card,FALSE,None,FALSE,Saturday
88,5339,896,TV,Appliances,5,819.83,03-07-2024 19:44,16,"Chicago, IL",44,Male,96546.69,Gold,Digital Wallet,TRUE,None,TRUE,Friday
89,3287,747,Washing Machine,Electronics,4,1617.59,5/31/2024 21:18,20,"Dallas, TX",57,Female,65593.93,Gold,Cash,TRUE,None,FALSE,Saturday
90,5040,491,TV,Electronics,2,1930.09,9/16/2024 10:49,16,"New York, NY",25,Female,56737.81,Silver,Debit Card,FALSE,Percentage Discount,FALSE,Saturday
91,9830,155,Fridge,Appliances,4,783.32,07-07-2024 08:08,5,"Miami, FL",35,Male,45523.24,Gold,Cash,FALSE,None,TRUE,Saturday
92,5304,412,TV,Electronics,2,1725.96,1/18/2024 18:20,1,"Chicago, IL",28,Male,57373.83,Platinum,Credit Card,TRUE,None,FALSE,Friday
93,8019,636,Headphones,Electronics,1,1322.84,4/23/2024 2:13,20,"New York, NY",63,Male,43939.6,Silver,Credit Card,TRUE,None,TRUE,Tuesday
94,7543,142,Fridge,Electronics,1,553.66,3/17/2024 21:53,5,"New York, NY",50,Female,52116.97,Silver,Digital Wallet,TRUE,None,FALSE,Friday
95,6930,426,Fridge,Electronics,1,906.63,3/18/2024 21:14,12,"Dallas, TX",37,Male,94210.23,Silver,Cash,FALSE,BOGO,FALSE,Tuesday
96,4593,652,Smartphone,Electronics,5,1840.97,2/26/2024 9:16,3,"Dallas, TX",18,Other,62801.49,Platinum,Cash,FALSE,None,FALSE,Sunday
97,3266,678,Camera,Appliances,1,1262.8,09-05-2024 02:59,19,"Chicago, IL",19,Other,36535.42,Gold,Cash,TRUE,None,TRUE,Friday
98,9348,253,Headphones,Appliances,4,1432.76,2/23/2024 18:26,5,"Dallas, TX",18,Male,35234.93,Platinum,Debit Card,FALSE,None,TRUE,Sunday
99,9085,434,Tablet,Appliances,5,486.48,3/19/2024 14:38,2,"Chicago, IL",18,Other,73542.56,Silver,Cash,FALSE,BOGO,FALSE,Tuesday
100,2489,614,Smartphone,Appliances,3,1093.09,08-07-2024 02:50,4,"Los Angeles, CA",62,Other,90900,Silver,Digital Wallet,FALSE,None,TRUE,Thursday
101,1771,814,Tablet,Appliances,2,709.39,01-03-2024 17:27,18,"Dallas, TX",25,Male,65819.84,Silver,Debit Card,TRUE,Percentage Discount,TRUE,Saturday
102,2796,326,Headphones,Electronics,2,324.35,02-12-2024 10:44,5,"Dallas, TX",31,Female,112414.59,Silver,Debit Card,TRUE,None,TRUE,Sunday
103,3504,256,Washing Machine,Appliances,1,316.49,8/24/2024 15:02,18,"New York, NY",66,Male,58700.64,Gold,Digital Wallet,FALSE,BOGO,FALSE,Saturday
104,3621,151,Camera,Appliances,1,1387.72,2/26/2024 23:09,12,"Los Angeles, CA",46,Other,25639.26,Silver,Credit Card,FALSE,BOGO,TRUE,Tuesday
105,7916,789,TV,Appliances,3,92.3,09-07-2024 10:41,5,"Miami, FL",34,Other,68695.94,Silver,Debit Card,TRUE,None,FALSE,Wednesday
106,2040,849,Laptop,Appliances,5,233.15,3/24/2024 13:44,8,"Chicago, IL",30,Female,98228.07,Platinum,Debit Card,FALSE,None,TRUE,Wednesday
107,7304,502,Washing Machine,Appliances,4,1393.04,2/25/2024 16:31,8,"Miami, FL",46,Other,110199.45,Bronze,Credit Card,TRUE,BOGO,TRUE,Tuesday
108,7252,556,Camera,Electronics,1,50.26,04-05-2024 15:10,5,"Miami, FL",50,Male,77716.11,Silver,Credit Card,FALSE,None,FALSE,Tuesday
109,8668,870,Fridge,Appliances,5,875.4,02-01-2024 09:42,19,"Chicago, IL",35,Male,77554.84,Silver,Credit Card,FALSE,None,FALSE,Thursday
110,9669,709,Washing Machine,Appliances,3,418.35,5/13/2024 2:08,15,"Dallas, TX",49,Other,111413.58,Silver,Debit Card,TRUE,Percentage Discount,FALSE,Wednesday
111,5119,689,Washing Machine,Electronics,3,1534.23,5/14/2024 0:38,1,"Los Angeles, CA",64,Other,29122.87,Silver,Digital Wallet,TRUE,None,FALSE,Sunday
112,1188,616,Fridge,Electronics,2,391.62,07-08-2024 16:45,9,"Los Angeles, CA",24,Female,35413.35,Platinum,Digital Wallet,FALSE,None,FALSE,Wednesday
113,2876,192,Fridge,Appliances,2,593.86,7/17/2024 4:47,19,"Miami, FL",19,Female,30786.94,Gold,Debit Card,TRUE,None,TRUE,Thursday
114,9797,327,Camera,Electronics,3,319.69,5/28/2024 22:36,7,"Chicago, IL",66,Other,42643.65,Platinum,Digital Wallet,FALSE,None,FALSE,Thursday
115,5371,542,Washing Machine,Appliances,3,1924.98,01-01-2024 22:11,16,"New York, NY",48,Female,75488.31,Bronze,Credit Card,TRUE,None,FALSE,Friday
116,6573,396,Camera,Appliances,2,1014.56,2/23/2024 17:35,19,"Los Angeles, CA",33,Other,56879.25,Platinum,Credit Card,FALSE,None,FALSE,Saturday
117,2827,905,Headphones,Electronics,4,187.67,01-02-2024 01:25,11,"Los Angeles, CA",50,Other,49753.83,Gold,Digital Wallet,TRUE,None,TRUE,Saturday
118,5808,503,Fridge,Appliances,5,1202.43,04-01-2024 10:59,17,"Chicago, IL",69,Female,74406.83,Silver,Credit Card,TRUE,None,TRUE,Friday
119,8123,251,Laptop,Electronics,4,341.23,2/29/2024 19:33,6,"Miami, FL",29,Female,106832.71,Gold,Cash,TRUE,Percentage Discount,FALSE,Friday
120,3591,235,Smartphone,Appliances,3,1235.81,07-06-2024 00:16,19,"Dallas, TX",30,Female,82217.52,Gold,Digital Wallet,TRUE,None,FALSE,Thursday
121,8433,444,Washing Machine,Appliances,3,1609.41,7/16/2024 17:23,4,"Dallas, TX",29,Other,111854.79,Bronze,Digital Wallet,FALSE,None,FALSE,Saturday
122,1053,184,TV,Electronics,4,992.38,02-11-2024 19:48,11,"Chicago, IL",27,Other,25671.78,Platinum,Digital Wallet,TRUE,None,FALSE,Saturday
123,5315,587,Headphones,Electronics,1,1648.76,6/20/2024 9:10,18,"Chicago, IL",38,Female,51082.58,Silver,Credit Card,FALSE,None,TRUE,Thursday
124,9201,685,Tablet,Appliances,1,1730.93,01-06-2024 04:49,12,"New York, NY",64,Male,70959.07,Bronze,Credit Card,FALSE,None,FALSE,Friday
125,3927,863,Camera,Appliances,4,690.1,03-09-2024 12:24,11,"New York, NY",60,Male,80543.74,Bronze,Credit Card,TRUE,Percentage Discount,FALSE,Thursday
126,9317,150,Tablet,Electronics,2,574.02,3/23/2024 20:31,4,"New York, NY",61,Female,60161.34,Bronze,Debit Card,FALSE,None,FALSE,Monday
127,2743,661,Headphones,Appliances,2,717.09,08-12-2024 10:41,3,"Los Angeles, CA",52,Male,63473.08,Silver,Debit Card,TRUE,None,FALSE,Tuesday
128,5889,508,Tablet,Electronics,1,1798.56,8/22/2024 21:06,14,"Los Angeles, CA",62,Female,75207.75,Gold,Credit Card,TRUE,None,FALSE,Tuesday
129,9317,368,Headphones,Appliances,5,162.28,4/24/2024 8:23,7,"Miami, FL",32,Female,58663.26,Silver,Digital Wallet,TRUE,None,TRUE,Sunday
130,4258,187,TV,Electronics,4,1855.66,6/14/2024 22:58,20,"New York, NY",32,Female,56894.87,Gold,Debit Card,TRUE,None,FALSE,Wednesday
131,3504,508,Tablet,Appliances,3,681.03,02-12-2024 08:18,15,"Chicago, IL",48,Other,87032.72,Bronze,Debit Card,TRUE,None,TRUE,Monday
132,7126,613,Tablet,Appliances,2,1158.37,4/15/2024 8:08,3,"Chicago, IL",45,Female,79753.13,Silver,Debit Card,FALSE,None,FALSE,Tuesday
133,3646,544,Tablet,Appliances,2,1238.24,3/21/2024 3:39,10,"Dallas, TX",67,Female,51389.78,Platinum,Cash,FALSE,None,TRUE,Tuesday
134,9837,892,Camera,Appliances,4,185.41,06-11-2024 10:50,20,"Dallas, TX",67,Female,57783.41,Silver,Credit Card,FALSE,None,FALSE,Thursday
135,9689,814,Laptop,Appliances,4,1124.67,9/15/2024 1:10,6,"Chicago, IL",28,Female,90105,Gold,Cash,FALSE,None,TRUE,Thursday
136,1009,233,TV,Appliances,4,481.22,02-05-2024 19:28,1,"New York, NY",59,Other,76606.52,Platinum,Debit Card,TRUE,None,TRUE,Saturday
137,6310,880,Camera,Appliances,2,107.44,8/14/2024 8:29,15,"Miami, FL",64,Female,66682.07,Gold,Credit Card,FALSE,Percentage Discount,TRUE,Friday
138,9005,238,TV,Appliances,5,1447.41,3/16/2024 13:26,11,"Chicago, IL",27,Female,66238.35,Silver,Credit Card,FALSE,None,TRUE,Friday
139,1319,592,Camera,Appliances,4,817.03,06-04-2024 09:38,15,"Miami, FL",31,Female,56856.21,Silver,Digital Wallet,FALSE,None,FALSE,Thursday
140,2832,672,Headphones,Appliances,4,604.47,2/20/2024 5:21,10,"Los Angeles, CA",64,Male,111403.54,Silver,Cash,FALSE,None,TRUE,Thursday
141,6947,302,Headphones,Appliances,3,529.42,7/18/2024 12:03,4,"Chicago, IL",33,Other,96304.22,Silver,Credit Card,TRUE,None,FALSE,Tuesday
142,6038,599,Headphones,Appliances,4,1363.2,4/30/2024 18:10,10,"Miami, FL",35,Male,36043.99,Bronze,Credit Card,FALSE,None,FALSE,Wednesday
143,4923,504,TV,Electronics,2,409.39,3/20/2024 17:35,6,"Miami, FL",39,Female,49173.07,Silver,Debit Card,FALSE,None,TRUE,Sunday
144,1949,767,Smartphone,Electronics,2,1528.82,8/31/2024 5:11,10,"Miami, FL",20,Female,24539.99,Platinum,Cash,TRUE,None,FALSE,Thursday
145,4946,685,Headphones,Electronics,4,1986.15,01-10-2024 02:58,18,"Miami, FL",25,Female,28190.16,Gold,Cash,TRUE,None,TRUE,Tuesday
146,2290,300,Laptop,Electronics,1,1463.18,01-09-2024 16:59,15,"Chicago, IL",39,Male,89770.37,Bronze,Debit Card,TRUE,None,TRUE,Tuesday
147,2403,674,Headphones,Electronics,1,343.57,07-03-2024 14:56,8,"New York, NY",35,Male,33350.36,Bronze,Cash,TRUE,BOGO,TRUE,Friday
148,8962,730,Headphones,Electronics,3,300.15,7/24/2024 9:24,19,"New York, NY",25,Other,81236.98,Silver,Cash,TRUE,None,FALSE,Saturday
149,2133,853,Camera,Appliances,1,926.33,7/22/2024 18:07,14,"Miami, FL",48,Male,108231.74,Silver,Debit Card,TRUE,None,FALSE,Friday
150,9727,636,Fridge,Appliances,1,960.38,4/21/2024 13:05,6,"Los Angeles, CA",49,Male,22535.55,Platinum,Credit Card,TRUE,None,FALSE,Monday
151,3060,352,Fridge,Appliances,3,447.32,1/20/2024 6:27,13,"Miami, FL",43,Female,28950.99,Platinum,Credit Card,FALSE,None,FALSE,Saturday
152,3103,348,Laptop,Appliances,2,197.09,3/27/2024 5:41,5,"Chicago, IL",41,Male,22562.55,Platinum,Debit Card,FALSE,None,TRUE,Thursday
153,8787,173,Washing Machine,Appliances,4,1779.07,2/28/2024 13:29,12,"Dallas, TX",47,Other,63045.29,Gold,Debit Card,TRUE,None,TRUE,Friday
154,3705,372,Smartphone,Electronics,5,1037.15,3/13/2024 2:08,20,"Los Angeles, CA",52,Female,79357.58,Bronze,Cash,TRUE,None,FALSE,Saturday
155,5342,895,Fridge,Appliances,1,1922.18,6/15/2024 18:09,3,"Miami, FL",44,Female,101034.98,Gold,Credit Card,TRUE,BOGO,FALSE,Friday
156,9645,540,TV,Electronics,1,1912.14,04-09-2024 14:07,17,"Chicago, IL",70,Female,37066.31,Gold,Credit Card,TRUE,None,TRUE,Tuesday
157,7932,431,TV,Appliances,3,833.53,05-09-2024 10:14,18,"Chicago, IL",45,Other,29824.29,Gold,Debit Card,FALSE,None,FALSE,Saturday
158,4470,801,TV,Electronics,3,632.54,1/31/2024 18:25,8,"Miami, FL",23,Female,94545.43,Gold,Cash,TRUE,None,FALSE,Thursday
159,9835,689,Washing Machine,Appliances,5,982.38,8/20/2024 2:32,3,"Los Angeles, CA",20,Male,65901.28,Gold,Credit Card,FALSE,None,TRUE,Saturday
160,4295,191,TV,Appliances,1,1854.75,09-07-2024 00:27,6,"Dallas, TX",62,Male,97701.81,Gold,Credit Card,TRUE,None,FALSE,Thursday
161,6107,215,Washing Machine,Appliances,1,913.75,7/31/2024 18:22,10,"Dallas, TX",59,Male,24212.73,Gold,Debit Card,TRUE,None,TRUE,Tuesday
162,7537,787,Washing Machine,Electronics,1,454.3,7/25/2024 17:42,19,"Chicago, IL",21,Male,50055.95,Gold,Digital Wallet,FALSE,None,TRUE,Monday
163,7118,523,Camera,Electronics,2,754.94,1/18/2024 16:41,16,"Los Angeles, CA",20,Female,45576.11,Silver,Credit Card,FALSE,BOGO,TRUE,Wednesday
164,8177,533,Tablet,Electronics,4,514.18,5/26/2024 14:34,15,"Los Angeles, CA",19,Female,38742.96,Platinum,Debit Card,FALSE,None,FALSE,Thursday
165,9479,474,Camera,Appliances,2,1605.26,6/27/2024 14:02,8,"Chicago, IL",40,Male,71780.79,Silver,Credit Card,TRUE,BOGO,TRUE,Tuesday
